title,text
Amezing della adv park and best restaurants,"The archery was very accurate and the experience was mind blowing even my archer Prasad was very supportive, mind-blowing experience and the overall ambience of Della is the best"
Della adventure cricket,"I enjoyed very much at this spot, Marshall was welcoming and the experience was lit.Alok kumar & team did a good job."
Cricket ,Cricket was wonderful and special thanks to Mr.Alok Kumar for great support.overall all the activities was wondourful.I really recommend Della.
Della shooting,I came to Della and I hit the bullseye for the first time in my life.. thanks to the hospitality of Nirmal kumar
Amazing ATV Ride,support staff was really helpful and Kundan and Kavita really helped to pick the skills really fast. Thanks to them
ATV Ride,Had a great time in ATV. Staff was great and helpful. Its recommended. Kundan and Kavita were extremely polite and helpful. Thanks to them.
Dangling Della,Nice place good service nyc experience in Della adventure park.best hospitality.cricket was so good .tnx to prasad
Superb Della rock,Good and helpful service given by prasad.Thank you.Happy with this activity.once again thanks Mr.prasad.
Super duper della,Ihe cricket session is good enjoy alot  play after long time if possible Come again to play next time
Business plan,Excellent in the activities and the trip is just awesome all the food and activities were just fantastic and fabulous. Prasad and Alok made me play cricket and archery which was just fantastic.
A zone Rocket ejector,"Pleasant ambience.Good vibes, great hospitality. Thrilling activities with ample safety and support system. Rocket ejector was specially something worth doing, the attendant Marshall TJ and A zone with all marshals were especially encouraging and the information was addressed very patiently and some newer skills were guided with enthusiasm by the marshals.   Worth a visit with friends and family.A fish spa at the end of the day..! Rewarding...! Food is costly, do eat heavy before getting in...Regards."
Crossbow,Amazing experience.. professional crossbow with 170 speed .... Roshan gre and vishal provided the perfect training before we shoot. they gave proper instructions. I did for the first time and it was overall amazing. highly recommended in della.
A zone rocket ejector.,Its one of the awesome ride in della.. really enjoyed all the activities... we have done it for many times..TJ was the one who encouraged me to do bunjee jumping for 2times...cleanliness was there..overall best experience
My Worst experience ever,"This was my 5th visit to Della's. I am one of their customers who till date thought Della is good. I had the worst experience yesterday. I had booked 2 rooms one in camp Della and other in Della villas. I was staying in the room in Della villas which had a very poor quality of material and this huge glass in my bathroom broke while I was in the bathtub. It was a life threatening scenario and I'm still traumatized by it. I have uploaded the images of this in my review. The staff then shifted me to this one room which is on the ground floor with an open Jacuzzi, so I asked them is there full privacy? to which they said yes, and I later on found out that one can easily see you while you're bathing which exploited my privacy. I have also attached my Jacuzzi pics from top view. Then there was no internet at night, they gave me a modem which was so poor quality of internet it took hours for some websites to load and I couldn't even work from my room. I had planned a business visit to which my work went for a toss and I've never seen such 5 star property with so poor internet connection. That's basic these days I'm not sure Della is aware of it. Or maybe their definition of good is too bad. So to all this experience they offered me an apology. That's all that there was. They gave me a 20 percent discount of 400rs on my food bill. I am like seriously? All my dishes were way more expensive than that compensation and is that what my life is worth? After paying them 50k, I would not recommend you'll to visit Dellas for staying at least, and if you're staying make sure your rooms are in a good shape. lonavala has better properties I am sure."
A zone della  knockout,Had a great experience in Della adventure park especially the Rocket Ejector and Della Knock out.The staff Mr.TJ&All Marshalls were very supportive and had fun.
Rocket a zone,Amazing rappelling and all are awesome specially a and f zone activity are good with good guiderMyself me LDinesh
ATV,An amazing experience at Della ATV E zone.Kundan is an awesome trainer for beginners in ATV rides!!!!
Amazing della,All the activities are very good and adventurous. Archery led by prasad and nirmal was very nice well guided and assisted.
Extraordinary experience,"This has been a great experience so far, Archery is a real excellent fun and Marshals Prasad and Pravin are very much helping"
Atv,It was an awesome experience with dirt bike... mr.Kundan and ms.kavita were very helpful.I would highly recommend
Atv,It was fun riding the dirt bike... the bikes were well maintained and powerfull... it was fun experiencing here in della adventures
Della is best,Hard Cricket is nice and people are very friendly. Nice place. A day spent well.. Alok Kumar and Team is very helpful...
Awesome experience at the sports bar,"Virtual games were nice and enjoyable. We liked the ambience and the resort rooms also,they are well furnished .Staff here was very nice. All were aware of the product. Gre pradnya and nikhat guided me well in virtual activities. Will visit again"
Amazing,"Amazing place to Njoy...!!! Food, virtual activites and adventure games were very nice...!!!Nikhat rana  and gre pradnya helped me about the virtual games. Thank you"
Land Zorbing,This is the best ride at the adventure zone and highly recommended for all adventure enthusiasts!! Roshan and Mary have been of amazing help and guidance.!!
Amazing Della,Della park adventure sports is amazing place to be. I recommend everyone to be here and enjoy. Prasad and Alok were amazing at cricket nets
A zone roller zob,Staff was very good and helpful. The rides were fun and enjoyable.  The dog walk was very good. Mr Tj was guiding well and explained the zone well. Great experience!!!
Land zorbing,Amazing ... thrilling ... it's a must do !!! Didn't expect it to be this great. 😉😉😉😉😉 the staff was very courteous and guest friendly.
Azone bull ride and aquazorb,"It was a great experiance in della adventur. Amazing ambience and amazing activities. Very satisfied with the activities. All the activities were awesome but i liked rocket ejector, swoop swing, and flying fox. The staff was very helpful nd always ready to help us. Specially GRE Mr. Kawsik bala and tushar was there to help us. Love to come here again"
A zone rocket,Rocket ejector and rappling were real fun... Safety is taken care of before each activity. Archery and gun shots feel real. Mr. TJ Marshall was a lively guy.
A zone rocket ejector,Good business trip... Most liked the a zone activites... Specially rocket ejector... Must try experience... And even knockout is good activity for teams.. just go place for office outings... Mr TJ was a good marshal and helped enjoyed the ride more... Safety concerns are good in all park activities...Good support and experience
A Zone Rokect Ejector,It was full of adventurous and exciting ride.....the staff TJ was very helpful and supportive. It is good for family and kids
ATV,Ride was superb...ATB 250cc was the best. Kundan and Kavita were superb in their service. Amazing experience. Totally loved it.
Fun loving park,"Best adventure park to visit near pune, with frnds or family or colleagues.  You will get the best only 🥰"
A zone,We enjoyed a lot over here.. it was really amazing experience coming to here.. expecially we loved the rocket ejector and knockout which was very fun playing.. and the guidence Mr. Tj was very awesome.. really enjoyed.. they guided us very much.. really it was very fun...
Azone della knockout,We have enjoyed alot this one it was amazong fun with knockout nd other activities . It was very fun mostly i loved rocket ejector was amazing i loved alot nd safety was too much so its is very caring for us by guidance mr.tj
Atv,It was a good experience in della adventure and its soo goodThe park was soo good Safty first in this park
ATV Ride,The Overall Experience was Amazing. Atv ride was much better than thought. Kundan & Kavita helped us a lot in helping us to ride the ATV & for clicking our photos. Thanks
A Zone Rocket Ejector,It was one amazing experience to do Rocket Ejector in A zone. TJ took our experience much higher. Recommended to anyone visiting DA.
"Too Expensive, Not worth.",The place is too expensive for what it offers. Definitely not for children. My kids had more fun in our hotels swimming pool.
Della Adventure Park - the best,"Thrilled .. enjoyed my morning start with Rocket Ejector .. thanks to T J Marshall.. going to play cricket now, my son’s favourite"
A zone rockrt ejector,Rocket was a fun ride Had a lot of fun Great place It was a great experenceEverbody is friendly and supportive And i really will come back soon I enjoyed a lot The staff are really great and helped us and nade us laugh a lot Mr tj is very friendly and gave me a lot of advise how to advise He us friendly and made my day He was great Mr tj A zone teamDella adventure and marshall
A zone della adventure,"I stayed here in della it is awesome place to be. It's like unlimited fun at minimum price,all working staffs are so supportive one of the guy mr. Tj and all della adventure team are so nice n I really feel too come here soon.Thanks Guys seeing my review plz come here soon.My kids took kids package and they enjoyed like anything.they don't want to leave this place."
Must visit once,"Had an amazing experience here. It is my third visit here and was worth everytime. Thanks to Mr, T J"
Atv,Excellent service by kundan and Kavita . Beautiful ride of dirt bike and buggy . The guidelines was given perfectly by Kundan and Kavita
A Zone rides della adventure park,"We went on a team outing. Rapelling, flying fox, rope challenge all were awesome and extremely safe. The staff is very cooperative and encouraging.Mr TJ, that i remember was very encouraging and motivating for the A zone activity. The staff was quite funny and friendly.Must go place for a group."
Della shooting range,Came to Della on office outing and hit bull's eye in Della shooting range! Had an awesome experience there and the bull's eye was possible due to support of Nirmal Kumar! Thanks to Della I also got coupon of 20%!
Azone Bull ride and knock out,Mr TJ served us really well and the bull rode was awesome . Very friendly and helpful . All the rides including rocket ejector and swing ride were awesome . We will definitely come here again with family. Recommended to everyone to visit here at least once on a lifetime
A zone della knockout,"Its a great place to experience all kind off adventure,  at really safe environment. A zone's activities  are pretty fun. Like knock out,  bull ride,  roller zorb,  rocket ejector and kids zone.  A are really safe and amazing. Come with family and Friends its a fun place not to miss.. Swoopswing or skycycling is amazing.  Also paintball is a cool activity to play with all your group members.. Also the bike ring is amazing.. Atv and bikes and buggues seem ti be amaxing.  Found some cool volunters, Mr. TJ and azone team and all marshals are amazing keeping us very much entertaining.. And also they are very hygenic and the food was amazing too.. Must try for sure.  ,😊😁😊😁😊😁👌"
Atv,Good experience for the first time.kundan and Kavita were supportive. I enjoyed the ride completely.
Azon rocket ejector is a must do here,Guys there Mr TJ and pushpinder were great. Its once in a life time experience. It was great fun. Whenever you go della adventure this is a must do.
ATV,It was awesome. i really enjoyed they are very supportive and helpful.Kundan and kavita are very supportive
A zone Della adventure,"It was really a great experience!! Must visit place. There are so many thrilling and fun activities to explore. We started with the rocket ejector which was unexpectedly very awesome one. One must try this if they get sacred of height, I bet they won't again. We had a guide(Mr. TJ from A zone team) along with us who helped us a lot through out the activities.Then we had an experience of tower building which was thrilling and we would need patience and concentration to pass the levels. Must try activity is Land Zorbing!! Your heart and lungs will come out for sure hahahahaha!!Good for kids to have some adventure and explore the new rides.Variety at its peak here!!!"
Adventurous,Very well maintained activities with proper safety and personnel handling the activities. Would love to visit again
A zone bull ride and roket,"Landzorbing,rocket ejector,fish spa,bull ride ,rope challenging, flying fox was the best,Mr tj was a good guide ,he was professional in his work and was funny , information provided by him about Della activities was good , overall experience was greatwe enjoyed it."
#place for best pics,"If you want to create memories this is the place, the whole place is like a wallpaper specially in the evening. N if it's rainy or cloudy then God help India's population ;)"
Della awesome place,It's good to visit best adventure place in indias premium adventure park della I love to here next tym for sure #alok kumar& team
A zone rocket ejector and bull ride,Amazing experience!!Worth a visit 😍😍The staff was very welcoming and the rocket ejector was the best part of the adventure rideMr.Tj was helping us throughout!!
ATV,"The rides were a great experience, got enough time to enjoy all the vehicles. The guides really helped alot."
Atv,The vehicles were very fun and easy to ride It is safe to ride them as the safety gear fits very wellKavita and kundan guided us very nicely
Archery ,Everyone must try this and compete with each other. Great way of competing with friends with extremely experienced Marshall’s. ESPECIALLY ALOK AND PRASAD !!
Archery,"Very good experience and extremely helpful Marshall’s. Highly recommended activity, must try it Try it with Alok Kumar and Prasad (Marshall’s)"
Buggy ride,It was excellent!!!Ride was bumpy though but its worth a try!!Much better experience than the ATVs
over price wise not worth.,"per price what della take is not worth. but me & my family enjoye the Dog walk, horse riding & cow milk."
Della shooting  amazing,"Had visited della on 14th jan had an amazing experience everything was upto date and maintained well especially had a lot of fun flying in the rocket ejector in zone A and the marshal MR. T J WAS really helpfull in guiding us,and we hit a bullseye in shooting just becuase MR. NIRMAL THE SHOOTING TRAINER HAS A VERY GOOD experience,and also gave us a 20% discount coupon on scoring a bullseye"
"A zone rocket ejector
Shooting range",The staff was really helpful and really enjoyed the trip here and looking forward to come back soon here speacially in the zone A rocket ejecter and the attendent Mr t.j was really helpful in guiding usAlso the shooting trainer NIRMAL KUMAR and from his guidance I was able to hit the bulleyes 45/50
A zone ride's,"Flying fox, rope challenge, horse riding, rocket ejector,cricket archery, Della knockout etc ride's were very awesomeMr TJ was giving us good guidance for the rides."
A zone della park,A nice place visit in Lonavala people and staff from this place is very polite and respectful and also helpfulMr TJ
Bubble socker,Excellent and thrilling experience. One of the best I ever had. Must try for younger ones. Cooperative staff
Rocket Ejector,rocket ejector experience was full of thrill and adrenaline specially thanks to the trainers and the Expert Mr.Pallab who guide us very well and good supportive attendance towards our needs really enjoyed alot
Rocket ejector,"Rocket ejector was the best experience I have had in della everything G was superb and amezing specially the management is very great and even the staff behaviour is very polite and humble all are well trained, I would like to specially thank Mr. Banerjee to guide us through all the ride and go through all the specification of della adventure park, Thanks to you all."
Land zorbing,All the activities are very good. But land morning is like cherry on cake. All the staff is very generous especially gre sagar was very helpful.
A zone: Amazing exoerience,Loved the experience.. Worth coming and experiencing the rides.. Rocket ejecter.. Oooo... Loved it.. Mr.  TJ is the best host and advisor for the ride.. Thank you TJ
amazing della,"amazing experience , hospitality is so welcoming , archery is fun , prasad and alok were so helpful in archery session"
Amazing place,We spent a full day at the Della Adventure park and had a blast. We were a group of over 60 folks for the WZCC Global Conclave and the staff took amazing care of us. The vision of Jimmy Mistry is truly outstanding and I'd love to be back soon.
Della,Excellent place must visit 1s i have enjoyed allot in section A and in hotel also must visit very very very good place k
Luxury adventure,"Very well maintained property, staff is very helpful and food is awesome.Activities are superb and Swoop sing was the hearthrob.GRE service was superb!Must visit!Can work on rates a little bit."
A zone della adventure park,We visited Della Adventure Park from Surat and had really high expectations from it. But we were not at all disappointed. The services and staff were just amazing. Mr. TJ was very helpful and insightful and made sure that we had a smooth experience. A must-have experience for all. We visited all the rides as we had Jumbo pass. 🥰
A zone Della Adventure,Had a wonderful time at Della Adventure Resort. Most of the activities are only available in this Resort and no where else in India. They are very particular about the safety and hygiene during the activities. The best activity was the Land Zorbin and the best place to chill in the resort is the sports bar. The virtual activities were guided very nicely by Arohi Jadhav and Nikhar and GRE Zaheer.Thanks a lot to the whole group of people who helped in enjoying all the rides. Special thanks to Mr. T J and team for guiding us about how to spend the day so that we can enjoy most of the rides in the resort.
"Shooting range,virtual movies.",So this is my second time visit in della adventure park and i swear this tour is really excitement for me and my freind... All the acitivity are cool. So Jitul will helped us in many rides. Thank you
A zone Della,"Best staff, very helping, very enthusiastic, Mr Tj and Sachin were very nice made the trip more fun, best adventure parkMust visit👌👌"
ATV,"Ohh, this ride is amazing. Also, Kundan and Kavita are very cooperative and helpful. They are also amazing trainers. Good job guys. Look forward to visiting again."
Della was amazing and everyone must visit once,Della is dam good and activities are good mainly cricket archery shooting etc etc and staff are really good especially Prasad and alok
A zone and Della adventure,"Amazing and most adventurous park in India. Definitely a must visit. The staff is very cooperative and the level of service is also tremendous. Kudos.Mr. TJ and all team members ashish kumar, hrisresh, pushpendra rohit were very cooperative and gave us a very good briefing as well."
A zone Della adventure,Had an amazing time. The entire staff is great and very helpful and I would personally recommend the rocket ejector. Mr TJ and pushpendar were very accommodating and helpful. Zaheer Shaikh is the GRE and he guided us perfectly
A zone Della adventure,Very amazing experience. Tried a lot of new things. Mr. T. J. and all marshalls are really helpful and friendly. Swoop swing and rocket ejector are must tries. GREs are also really helpful. Mr. Zaheer is an amazing person. Will definitely come back:)
Atv,Day spent well with all activities and best staff I had ever seen before (Thanks Kavita & Kundan)...Enjoyed all rides.Thank you Della and Team
ATV,"Well designed n great ambience all over area , Fun riding n lovable guides , worth spendin a day ...thank you della ❣️❣️"
Azone Della Knock out adventure,I had an amazing experience..especially the rides we had in the jumbo pass were awesome..i have never sat on such rides..swoop😍😍..the experience was better than foreign tours..not only go we have amazing rides but the place is very hygienic that makes it the best...one more thing which i found very interesting was the dog walk..moreover the staff was excellent..Marshal Mr. TJ and A zone team..were very supportive..
A zone,Della adveture is an awesome activity park most of i like della knockout and rocket ejector all the staff is very polite and humble.All the marshals are professionaly train. GRE Zaheer shaikh is very nice to speak withMarshal T J is also a good person.
della Amazing ¥¥¥¥¥¥$,"Cricket is my all time favourites.enjoyed a lot, staff is helpful.Real time enjoyment. Food is costly. Rest its good fun once in a lifetime."
Della experience,Awesome adventure rides. Enjoyed a lot. It is our UA brands trip. Zeba helped us alot guiding us about the rides
ATV,The activity was pretty good and the behaviour of the staff was welcoming and friendly.kundan and kavita helped us through the whole experience
A Zone Della Adventure Park,Near A Zone Rocket Ejector too nice playing also very very good service from your GRE Mr. Zaheer and Mr. T. J. Both are best services with our friends.
A zone rocket ejector,The best way to do a activities in Della adventure is an extreme activities.Apart from extreme activities rocket ejector all A zone activities are ti cool to do it.All the Marshal's are very helpful.Marshal TJ IS VERY HELPFUL.GRE ZAHEER is very nice to talk with.
Dela is awesome,Stay is good Room is goodMostly I love to play cricket staff is very cooperative and help full Thanks for.playing me Mr prasad
Dangling Della adventure Park,Cricket was really very good adventure Wich is full of joy and njoying very well..Prasad is treating very well with all the customer.
A zone riders adventure tj,The experience was very good. All activities were amazing. All activities were fun. Bull ride was great. Also Mr. TJ has been really co operative.
A zone bull ride and adventure,The experience is amazing. The rides are a lot of funn had a great time with friends. Also the staff is very co-operative.
FUN UNLIMITED,It was a nice experienceHowever restaurant service can be improvedArchery and Flying fox are good.
Awesome experience,"Hi Della, This was my first visit and definitely not the last 🙂I was with my friends and my 2year old son. It was an awesome adventurous trip. I like all the activities but my favourite was flying fox and Swoop swing. Della staff is supporting and cheerful.Only thing I would request is to have some day care  play area kind of thing for children so that we can keep our kids there for some time and do some activities together as couple."
A zone,"Great fish spa with Mr. TJ and A zone team, knock out, water zorb, and bull riding, supportive and cheerful staff with well maintained aminites."
Della Shooting,I went to Della and played all the games and in that shooting range also along with fight shoot by proper training by Normal Kumar..
A Zone,"Awesome experience,wonderful plave for one day picnic.Womderful staff at della flying fox,and archery.Sports bar was nice with fussball and tt.Mt tj guided us with della lockout and pedicure and rocket ejector.Mr tj was nice guy..pls ask him for any help at there."
Cross bow,"Della Adventure is awesome park, Soo many games, crazy,had fun whole day,it was worth coming from Bangalore to visit Della adventure"
A zone rides,A zone activities are so good and rocket ejector is an awesome activity all the extreme activities are so good and della hozpitality is damn good. Mr. TJ marshal is so nice to speak with. GRE zaheer shaikh is guixe us very well.
ATV,It was AMAZING 😍😍😍😭😭Raptor and the dirt bike was stye best The food was a bit expensive but worth it 👌😉Staff especially kundan and Kavita were really nice and helpful ☺️☺️☺️
A zone bull ride,"Della is an awesome place to visit for activities like rocket ejector and the extreme activities.Activities are awesome. a zone children activities are there.Hospitality is also an awesome. The staff is very helpful and marshals are very much train every activity.Tushar,sachin.GRE zaheer Shaikh is so nice to talk with.He guide us beautifully."
Mind blowing experience.,Looks dangerous but once u do it you will like to do them again and again.Don't be afraid. Just do it....Lovely place.. Enjoyed a lot..
Della cricket,Cricket was amazing. Mr Nirmal Kumar provided good support. Good rope activities. Good staff and service from the marshals. Good se
A zone bull right,Staff will help phul and good serviceMr Marshall T J and A Zone teem good services  OK next year coming
A zone Della adventure park,Had great fun...Staff Marshall from Mr.TJ has good knowledge about rules and regulations and provide good safety measures
A zone,It was very nice experience especially of Tushar and sachin. They guide very well and take care of each and every thing.
Della shooting Range,"Got a bullseye at della riffle shooting. It was fun. Nirmal, shooting trainer was excellent. Everyone shd try it."
A ZOne Della adventure park,"it is been wonderful experience with Della adventure.Mr TJ had guided through all the journey with perfect safety guidelines and equipment.Flying force ATV rides, cricket, archery, cycling, roller Zorn Delaa knockout tec"
ATV,"Great ATV vehicles, and a lot of fun, do try it. Great and helpful staff as well. Kundan, Kavita, Vishal and team were very kind. Must try."
ATV,"Very friendly staff, they make the experience even better with their involvement in the activity. Specifically Kundan and Kavita, Vishal helped us undertake it and have a lot of fun"
Sports bar,Staffs and ambiance of this bar is excellent.staffs really helped us to get the first hand experience of the virtual games like football and boxing.Nikhat rana and G R E PRADNYA maam also guided us so well.
